"Planet","Grid","CurrentSector","Reason","SuggestedWookieepediaTitle","GridCategoryUrl"
"Aaeton","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Aaeton","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Aargau","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Aargau","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Abregado-rae","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Abregado-rae","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Adumar","J6","Adumar Sector","Matching Wookieepedia page has no usable sector field.","Adumar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-6"
"Aeten","J6","Adumar Sector","Matching Wookieepedia page has no usable sector field.","Aeten system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-6"
"Affa","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Affa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Affavan","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Affavan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Ahch-To","E13","Ahch-To Sector","No matching page title in the Wookieepedia grid category.","Ahch-To","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_E-13"
"Ailon","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Ailon/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Alashan","J5","Alashan Sector","Matching Wookieepedia page has no usable sector field.","Alashan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-5"
"Alee","R9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Alee","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-9"
"Alland","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Alland","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Andalasa","P18","Cor'ric","No matching page title in the Wookieepedia grid category.","Andalasa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-18"
"Andara","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Andara","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Andelm IV","Q19","Svivreni","No matching page title in the Wookieepedia grid category.","Andelm IV","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-19"
"Anoth","J20","Anoth Sector","Matching Wookieepedia page has no usable sector field.","Anoth/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-20"
"Antar","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Antar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Aphran","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Aphran","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Aradia","K10","Alland Sector","Matching Wookieepedia page has no usable sector field.","Aradia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-10"
"Arat Fraca","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Arat Fraca","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Arcan","R6","Thanium","No matching page title in the Wookieepedia grid category.","Arcan","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-6"
"Arkam","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Arkam system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Arkania","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Arkania","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Asrat","N8","Asrat Sector","Matching Wookieepedia page has no usable sector field.","Asrat","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-8"
"Atapap I","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Atapap I","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Atollon","U7","Lothal sector","No matching page title in the Wookieepedia grid category.","Atollon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_U-7"
"Ator","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Ator","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Atzerri","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Atzerri","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Aylayl","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Aylayl","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Azbrian","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Azbrian","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Babbadod","N14","Babbadod Sector","Matching Wookieepedia page has no usable sector field.","Babbadod","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-14"
"Balmorra","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Balmorra","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Balosar","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Balosar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Baraboo","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Baraboo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Baradas","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Baradas","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Basilisk","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Basilisk","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Bassadro","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Bassadro","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Batorine","J9","Batorine Sector","Matching Wookieepedia page has no usable sector field.","Batorine","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-9"
"Belazura","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Belazura","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Belgaroth","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Belgaroth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Bellassa","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Bellassa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Bengat","J8","Belassar Sector","Matching Wookieepedia page has no usable sector field.","Bengat","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-8"
"Berri","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Berri","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Besero","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Besero/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Besnia","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Besnia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Bestine","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Bestine system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Bilbringi","J8","Belassar Sector","Matching Wookieepedia page has no usable sector field.","Bilbringi","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-8"
"Bith","M18","Mayagil","No matching page title in the Wookieepedia grid category.","Bith","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-18"
"Bogden","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Bogden","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Borao","M14","Arkam Sector","Matching Wookieepedia page has no usable sector field.","Borao","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-14"
"Borleias","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Borleias","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Boudolayz","N12","Ailon Sector","Matching Wookieepedia page has no usable sector field.","Boudolayz","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-12"
"Broest","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Broest","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Byblos","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Byblos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Byss","K11","Byss Sector","Matching Wookieepedia page has no usable sector field.","Byss","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-11"
"Caamas","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Caamas","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Calus","L15","Borkyne Sector","Matching Wookieepedia page has no usable sector field.","Calus","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-15"
"Cambria","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Cambria system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Candoria","J13","Bardotta Sector","Matching Wookieepedia page has no usable sector field.","Candoria","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-13"
"Carest","N8","Asrat Sector","Matching Wookieepedia page has no usable sector field.","Carest system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-8"
"Carida","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Carida","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Carnovia","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Carnovia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Carratos","K8","Aphran Sector","Matching Wookieepedia page has no usable sector field.","Carratos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-8"
"Celdaru","I8","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","Celdaru system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-8"
"Challon","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Challon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Chamm","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Chamm system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Champala","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Champala","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Chardaan","N13","Chardaan Sector","Matching Wookieepedia page has no usable sector field.","Chardaan/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Chasin","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Chasin","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Cholganna","T5","Colundra","Matching Wookieepedia page has no usable sector field.","Cholganna","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-5"
"Cilpar","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Cilpar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Circumtore","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Circumtore","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Colla IV","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Colla IV","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Columus","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Columus","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Comkin V","N7","Nouane","Matching Wookieepedia page has no usable sector field.","Comkin V","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-7"
"Commenor","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Commenor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Condular","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Condular","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Constancia","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Constancia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Corann","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Corann","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Corbos","R5","Esstran","No matching page title in the Wookieepedia grid category.","Corbos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_R-5"
"Corroth","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Corroth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Cortina","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Cortina","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Coruscant","","Corusca Sector","No NavData grid is assigned.","Coruscant",""
"Crakull","G10","Crakull Sector","Matching Wookieepedia page has no usable sector field.","Crakull","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_G-10"
"Crystan","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Crystan system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Cuvacia","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Cuvacia system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Cyax","S11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Cyax","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-11"
"Cyborrea","S9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Cyborrea/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-9"
"Daan/Melida","P17","Cadavine","No matching page title in the Wookieepedia grid category.","Daan/Melida","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-17"
"Dachat","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Dachat","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Dagary Minor","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Dagary Minor","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Dahrtag","J13","Bardotta Sector","Matching Wookieepedia page has no usable sector field.","Dahrtag system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_J-13"
"Dalcretti","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Dalcretti system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Damoria","N11","Cato Neimoidia Sector","Matching Wookieepedia page has no usable sector field.","Damoria system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-11"
"Dankayo","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Dankayo","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Darada","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Darada","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Dargulli","N14","Babbadod Sector","Matching Wookieepedia page has no usable sector field.","Dargulli/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-14"
"Dartessex IV","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Dartessex IV","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Datar","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Datar/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Delle","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Delle system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Denevar","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Denevar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Dentaal","K13","Abregado-rae Sector","Matching Wookieepedia page has no usable sector field.","Dentaal","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-13"
"Diamal","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Diamal system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Dirha","S9","Hutt Space","Matching Wookieepedia page has no usable sector field.","Dirha","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-9"
"Diyu","S12","Hutt Space","Matching Wookieepedia page has no usable sector field.","Diyu","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-12"
"Doldrums","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Doldrums","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Doniphon","Q4","Kwymar","No matching page title in the Wookieepedia grid category.","Doniphon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_Q-4"
"Dosuun","H20","Dosuun Sector","Matching Wookieepedia page has no usable sector field.","Dosuun","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_H-20"
"Dravian Station","N18","Tamarin","No matching page title in the Wookieepedia grid category.","Dravian Station","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-18"
"Drearia","L8","Baradas Sector","Matching Wookieepedia page has no usable sector field.","Drearia","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-8"
"Dremulae","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Dremulae","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Drongar","T5","Cholganna Sector","Matching Wookieepedia page has no usable sector field.","Drongar","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-5"
"Du Hutta","S11","Hutt Space","Matching Wookieepedia page has no usable sector field.","Du Hutta","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-11"
"Dulin","K14","Dulin Sector","Matching Wookieepedia page has no usable sector field.","Dulin system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-14"
"Dulvoyinn","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Dulvoyinn system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Eamus","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Eamus system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Ebaq","M11","Baraboo Sector","Matching Wookieepedia page has no usable sector field.","Ebaq/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-11"
"Eclipse","L11","Eclipse Sector","No matching page title in the Wookieepedia grid category.","Eclipse","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-11"
"Ejolus","M8","Arkania Sector","Matching Wookieepedia page has no usable sector field.","Ejolus","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-8"
"Elgit","T10","Hutt Space","Matching Wookieepedia page has no usable sector field.","Elgit","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-10"
"Enisca","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Enisca","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Eredenn","T6","Tion Hegemony","No matching page title in the Wookieepedia grid category.","Eredenn","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_T-6"
"Esfandia","I6","Ansion Sector","Matching Wookieepedia page has no usable sector field.","Esfandia/Legends","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-6"
"Exodeen","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Exodeen","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Fadden","N11","Cato Neimoidia Sector","Matching Wookieepedia page has no usable sector field.","Fadden","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-11"
"Far Pando","S13","Hutt Space","Matching Wookieepedia page has no usable sector field.","Far Pando","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_S-13"
"Faro","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Faro","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Fedalle","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Fedalle","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Fennesa","K14","Dulin Sector","Matching Wookieepedia page has no usable sector field.","Fennesa","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-14"
"Foerost","L10","Aargau Sector","Matching Wookieepedia page has no usable sector field.","Foerost","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-10"
"Foless","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Foless","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Foundry","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","Foundry","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
"Frego","L13","Andara Sector","Matching Wookieepedia page has no usable sector field.","Frego","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-13"
"Froswythe","M13","Affa Sector","Matching Wookieepedia page has no usable sector field.","Froswythe","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-13"
"Galactic Center","","Galactic Center Sector","No NavData grid is assigned.","Galactic Center",""
"Galvoni","K9","Aaeton Sector","Matching Wookieepedia page has no usable sector field.","Galvoni system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-9"
"Gama","L12","Azbrian Sector","Matching Wookieepedia page has no usable sector field.","Gama system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-12"
"Gandeal","M12","Arat Fraca Sector","Matching Wookieepedia page has no usable sector field.","Gandeal","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-12"
"Gelviddis Cluster","N9","Berri Sector","Matching Wookieepedia page has no usable sector field.","Gelviddis Cluster","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-9"
"Gendrah-Narvin","N13","Chardaan Sector","Matching Wookieepedia page has no usable sector field.","Gendrah-Narvin system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Genon","N13","Chardaan Sector","Matching Wookieepedia page has no usable sector field.","Genon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-13"
"Geroon","I8","Freestanding Subsectors","Matching Wookieepedia page has no usable sector field.","Geroon","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-8"
"Gerrard","K12","Botor Sector","Matching Wookieepedia page has no usable sector field.","Gerrard system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_K-12"
"Glithnos","M10","Alderaan Sector","Matching Wookieepedia page has no usable sector field.","Glithnos","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-10"
"Glom Tho","I8","Vardoss","No matching page title in the Wookieepedia grid category.","Glom Tho","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_I-8"
"Gorse","O10","Ambria Sector","Matching Wookieepedia page has no usable sector field.","Gorse","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-10"
"Gorsh","O3","Gorsh Sector","Matching Wookieepedia page has no usable sector field.","Gorsh","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-3"
"Grandine","M9","Adari Sector","Matching Wookieepedia page has no usable sector field.","Grandine system","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_M-9"
"Gravan Seven","O8","Alpheridies Sector","Matching Wookieepedia page has no usable sector field.","Gravan Seven","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_O-8"
"Grizmallt","L9","Alsakan Sector","Matching Wookieepedia page has no usable sector field.","Grizmallt","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_L-9"
"Gulma","P3","Eol Sha Sector","Matching Wookieepedia page has no usable sector field.","Gulma","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_P-3"
"H'ratth","N10","Commenor Sector","Matching Wookieepedia page has no usable sector field.","H'ratth","https://starwars.fandom.com/wiki/Category:Locations_in_grid_square_N-10"
